country,country_code,year,agriculture_tonnes,households_tonnes,construction_tonnes,manufacturing_tonnes,energy_tonnes,mining_tonnes,services_tonnes,total_waste_tonnes,population_millions,waste_per_capita_kg_year,waste_per_capita_kg_day
Algeria,DZA,2002,,5200000.0,,,,,,5200000.0,31.36,165.81632653061226,0.45429130556332126
Algeria,DZA,2005,,8500000.0,,,,,,8500000.0,33.06,257.1082879612825,0.7044062683870753
Algeria,DZA,2009,,9600000.0,,,,,,9600000.0,35.27,272.18599376240434,0.7457150514038475
Algeria,DZA,2014,,10477917.0,,,,,,10477917.0,38.93,269.1476239404059,0.7373907505216599
Algeria,DZA,2015,,10857376.0,,,,,,10857376.0,39.54,274.592210419828,0.752307425807748
Algeria,DZA,2016,,11273867.0,,,,,,11273867.0,40.15,280.793698630137,0.7692978044661287
Algeria,DZA,2017,,11700525.0,,,,,,11700525.0,40.76,287.0590039254171,0.7864630244531975
Algeria,DZA,2018,,12137564.0,,,,,,12137564.0,41.39,293.24870741725056,0.8034211162116454
Algeria,DZA,2019,,8270000.0,,,,,4340000.0,12610000.0,42.01,300.16662699357295,0.8223743205303369
Algeria,DZA,2020,,7730000.0,,,,,3090000.0,10820000.0,42.64,253.75234521575985,0.6952119047007119
Algeria,DZA,2021,,7850000.0,,,,,3170000.0,11020000.0,43.28,254.6210720887246,0.6975919783252729
Egypt,EGY,2000,23000000.0,15000000.0,,5000000.0,,,,43000000.0,,,
Egypt,EGY,2001,23000000.0,,3500000.0,,,,,26500000.0,,,
Egypt,EGY,2007,26583600.0,,11091050.0,9999600.0,,,14275630.0,61949880.0,,,
Egypt,EGY,2008,20519800.0,,,,,,,20519800.0,,,
Egypt,EGY,2009,20595800.0,,,,,,,20595800.0,,,
Egypt,EGY,2010,21156700.0,,,,,,,21156700.0,,,
Egypt,EGY,2011,21456900.0,,,,,,,21456900.0,,,
Egypt,EGY,2012,13407500.0,,,,,,,13407500.0,,,
Egypt,EGY,2013,21837900.0,,,,,,,21837900.0,,,
Egypt,EGY,2014,22758000.0,,,,,,,22758000.0,,,
Egypt,EGY,2015,22722900.0,,,,,,,22722900.0,,,
France,FRA,2004,1221940.0,25688700.0,210041310.0,21433660.0,840690.0,165780.0,,259392080.0,,,
France,FRA,2006,1221940.0,26832200.0,225310880.0,22972976.0,1033680.0,1040400.0,,278412076.0,,,
France,FRA,2008,1312890.0,29310520.0,252979840.0,21640260.0,1004080.0,1195220.0,,307442810.0,,,
France,FRA,2010,1371625.0,29306586.0,260699140.0,21587442.0,992630.0,1053025.0,,315010448.0,,,
France,FRA,2012,1290136.0,29705156.0,246702430.0,21404504.0,2100102.0,2477408.0,,303679736.0,,,
France,FRA,2014,1274216.0,28374300.0,227607180.0,21796888.0,1587553.0,2345765.0,,282985902.0,,,
France,FRA,2016,1303642.0,29055944.0,224355220.0,21747172.0,1469837.0,1408895.0,,279340710.0,,,
France,FRA,2018,1309912.0,29784968.0,240207090.0,22465232.0,1503102.0,1433226.0,,296703530.0,,,
France,FRA,2020,1291230.0,33543536.0,212733090.0,18507312.0,832008.0,263712.0,,267170888.0,,,
Germany,DEU,2004,1226989.0,38007850.0,191562720.0,30162764.0,9134082.0,55879700.0,,325974105.0,,,
Germany,DEU,2006,1515272.0,34626020.0,196536160.0,31705196.0,8468297.0,47222200.0,,320073145.0,,,
Germany,DEU,2008,1350758.0,35754996.0,197206500.0,52304324.0,11706681.0,28287600.0,,326610859.0,,,
Germany,DEU,2010,256272.0,36311612.0,190990220.0,48981040.0,9087238.0,24493072.0,,310119454.0,,,
Germany,DEU,2012,648869.0,36471810.0,197527870.0,56595630.0,8049687.0,8625187.0,,307919053.0,,,
Germany,DEU,2014,438829.0,36887630.0,206466180.0,61083250.0,9975200.0,7431893.0,,322282982.0,,,
Germany,DEU,2016,1126134.0,37409896.0,220499420.0,55911876.0,10178630.0,7265142.0,,332391098.0,,,
Germany,DEU,2018,982106.0,37308892.0,225260600.0,56536896.0,9449661.0,8851574.0,,338389729.0,,,
Germany,DEU,2020,1004332.0,38474000.0,226035630.0,55104400.0,7855850.0,5247193.0,,333721405.0,,,
Italy,ITA,2004,615288.0,31149584.0,49150772.0,39471516.0,2466542.0,761406.0,,123615108.0,,,
Italy,ITA,2006,558481.0,32522650.0,52315620.0,39997384.0,3005458.0,1005261.0,,129404854.0,,,
Italy,ITA,2008,349096.0,32471572.0,69731944.0,43085764.0,3089900.0,1262823.0,,149991099.0,,,
Italy,ITA,2010,310912.0,32478920.0,59340136.0,35927620.0,2660218.0,705765.0,,131423571.0,,,
Italy,ITA,2012,407979.0,29993530.0,52965744.0,26881600.0,3616226.0,685665.0,,114550744.0,,,
Italy,ITA,2014,323518.0,29651720.0,51670600.0,26519662.0,3195283.0,981739.0,,112342522.0,,,
Italy,ITA,2016,320928.0,30116606.0,54576760.0,27819564.0,2687738.0,758732.0,,116280328.0,,,
Italy,ITA,2018,332554.0,30158280.0,60829200.0,28408150.0,2278285.0,1349011.0,,123355480.0,,,
Italy,ITA,2020,348501.0,28945092.0,66084350.0,26531088.0,1628119.0,1343964.0,,124881114.0,,,
Morocco,MAR,2000,,3980000.0,,974074.0,,,,4954074.0,,,
Morocco,MAR,2003,,4152000.0,,,,,,4152000.0,,,
Morocco,MAR,2004,,4709000.0,,,,,,4709000.0,,,
Morocco,MAR,2013,,6850000.0,,1512619.0,,,,8362619.0,,,
Morocco,MAR,2014,,7283895.0,30000000.0,,,,,37283895.0,,,
Morocco,MAR,2015,,7433045.0,,,,,,7433045.0,,,
Morocco,MAR,2008,,,,1575000.0,,,,1575000.0,,,
Spain,ESP,2004,17986084.0,24409990.0,46319660.0,28377050.0,5897332.0,21779548.0,,144769664.0,,,
Spain,ESP,2006,15152405.0,24078308.0,47323390.0,22427334.0,7229469.0,26014628.0,,142225534.0,,,
Spain,ESP,2008,11355660.0,24431320.0,44926464.0,19368660.0,4872159.0,25716298.0,,130670561.0,,,
Spain,ESP,2010,5816630.0,23198184.0,37946524.0,16479926.0,2339062.0,31732304.0,,117512630.0,,,
Spain,ESP,2012,5496458.0,21224354.0,26129152.0,14594016.0,5772474.0,22509144.0,,95725598.0,,,
Spain,ESP,2014,5817439.0,20159648.0,20418072.0,14813850.0,5271536.0,18640872.0,,85121417.0,,,
Spain,ESP,2016,6271464.0,21689436.0,35827924.0,14269033.0,3874067.0,20299472.0,,102231396.0,,,
Spain,ESP,2018,6258251.0,22699262.0,38075988.0,13709387.0,3283472.0,23594440.0,,107620800.0,,,
Spain,ESP,2020,6330651.0,22509336.0,32542572.0,13150017.0,842775.0,2457752.0,,77833103.0,,,
Tunisia,TUN,2000,55000.0,1512000.0,,7200000.0,11900.0,,,8778900.0,,,
Tunisia,TUN,2001,,1529000.0,,7500000.0,12500.0,,,9041500.0,,,
Tunisia,TUN,2002,,1546000.0,,7820000.0,,,,9366000.0,,,
Tunisia,TUN,2003,,1554000.0,,7500000.0,,,,9054000.0,,,
Tunisia,TUN,2004,,1701000.0,2000000.0,,,,,3701000.0,,,
Tunisia,TUN,2007,,2200000.0,,,,,,2200000.0,,,
Tunisia,TUN,2012,,2400000.0,,,,,,2400000.0,,,
